"A" "B" "C"
"338" "yes" "yes" "yes"
"339" "yes" "no" "no"
"340" "no" "no" "no"
"341" "yes" "yes" "no"
"342" "yes" "no" "no"
"343" "no" "no" "no"
"344" "no" "no" "yes"
"345" "yes" "no" "no"
"346" "no" "no" "no"
"347" "yes" "no" "no"
"348" "yes" "yes" "no"
"349" "no" "no" "yes"
"350" "no" "no" "yes"
"351" "no" "no" "yes"
"352" "no" "no" "yes"
"353" "no" "no" "yes"
"354" "no" "no" "no"
"355" "yes" "no" "no"
"356" "no" "no" "yes"
"357" "no" "no" "no"
"358" "yes" "no" "no"
"359" "no" "no" "no"
"360" "yes" "yes" "no"
"361" "yes" "yes" "yes"
"362" "no" "no" "yes"
"363" "no" "yes" "yes"
"364" "yes" "no" "no"
"365" "no" "no" "yes"
"366" "yes" "yes" "no"
"367" "no" "no" "yes"
"368" "yes" "no" "no"
"369" "no" "no" "yes"
"370" "yes" "no" "yes"
"371" "yes" "yes" "no"
"372" "no" "no" "no"
"373" "no" "no" "yes"
"374" "no" "no" "yes"
"375" "yes" "yes" "yes"
"376" "no" "no" "yes"
"377" "no" "no" "yes"
"378" "yes" "yes" "no"
"379" "yes" "yes" "no"
"380" "yes" "yes" "no"
"381" "yes" "yes" "no"
"382" "no" "no" "no"
"383" "yes" "no" "no"
"384" "no" "no" "no"
"385" "yes" "yes" "no"
"386" "no" "no" "yes"
"387" "yes" "yes" "no"
"388" "yes" "yes" "yes"
"389" "no" "no" "yes"
"390" "no" "no" "yes"
"391" "yes" "no" "no"
"392" "yes" "yes" "no"
"393" "yes" "yes" "no"
"394" "no" "no" "no"
"395" "no" "no" "no"
"396" "yes" "yes" "no"
"397" "yes" "yes" "no"
"398" "no" "no" "yes"
"399" "no" "no" "yes"
"400" "yes" "no" "no"
"401" "no" "no" "yes"
"402" "yes" "yes" "no"
"403" "no" "no" "yes"
"404" "no" "no" "yes"
"405" "yes" "no" "yes"
"406" "yes" "yes" "no"
"407" "yes" "no" "no"
"408" "yes" "yes" "yes"
"409" "yes" "yes" "no"
"410" "no" "no" "yes"
"411" "yes" "yes" "no"
"412" "yes" "no" "no"
"413" "no" "no" "yes"
"414" "yes" "no" "no"
"415" "yes" "no" "no"
"416" "yes" "no" "no"
"417" "yes" "yes" "no"
"418" "yes" "yes" "no"
"419" "no" "no" "no"
"420" "yes" "no" "no"
"421" "yes" "no" "no"
"422" "yes" "yes" "no"
"423" "no" "no" "yes"
"424" "no" "no" "yes"
"425" "yes" "no" "no"
"426" "no" "no" "yes"
"427" "yes" "yes" "no"
"428" "no" "yes" "no"
"429" "yes" "no" "no"
"430" "yes" "no" "no"
"431" "no" "no" "yes"
"432" "yes" "yes" "no"
"433" "no" "no" "yes"
"434" "yes" "yes" "yes"
"435" "yes" "yes" "no"
"436" "no" "no" "yes"
"437" "no" "no" "yes"
"438" "yes" "no" "no"
"439" "yes" "yes" "yes"
"440" "no" "no" "no"
"441" "no" "no" "yes"
"442" "no" "no" "yes"
"443" "yes" "yes" "no"
"444" "yes" "yes" "no"
"445" "yes" "no" "yes"
"446" "no" "no" "no"
"447" "yes" "yes" "no"
"448" "yes" "yes" "no"
"449" "no" "no" "yes"
"450" "no" "yes" "yes"
"451" "no" "no" "yes"
"452" "no" "yes" "yes"
"453" "yes" "yes" "no"
"454" "yes" "no" "no"
"455" "no" "no" "yes"
"456" "yes" "yes" "yes"
"457" "yes" "no" "no"
"458" "yes" "yes" "no"
"459" "no" "no" "yes"
"460" "yes" "yes" "no"
"461" "no" "no" "yes"
"462" "yes" "yes" "yes"
"463" "yes" "no" "yes"
"464" "yes" "yes" "no"
"465" "no" "no" "yes"
"466" "no" "no" "yes"
"467" "yes" "no" "yes"
"468" "yes" "no" "no"
"469" "no" "no" "yes"
"470" "no" "no" "no"
"471" "no" "no" "yes"
"472" "yes" "yes" "yes"
"473" "yes" "yes" "yes"
"474" "no" "no" "yes"
"475" "no" "no" "yes"
"476" "no" "no" "yes"
"477" "yes" "yes" "no"
"478" "no" "no" "no"
"479" "yes" "yes" "no"
"480" "yes" "no" "no"
"481" "no" "no" "no"
"482" "no" "no" "yes"
"483" "no" "no" "yes"
"484" "yes" "yes" "no"
"485" "yes" "no" "no"
"486" "no" "no" "yes"
"487" "yes" "no" "yes"
"488" "no" "no" "yes"
"489" "yes" "yes" "yes"
"490" "yes" "yes" "no"
"491" "no" "no" "yes"
"492" "no" "no" "no"
"493" "yes" "no" "no"
"494" "no" "no" "yes"
"495" "yes" "no" "no"
"496" "yes" "yes" "yes"
"497" "yes" "yes" "no"
"498" "yes" "yes" "yes"
"499" "no" "no" "yes"
"500" "yes" "no" "no"
"501" "yes" "no" "no"
"502" "no" "no" "no"
"503" "no" "no" "yes"
"504" "yes" "yes" "no"
"505" "yes" "yes" "yes"
"506" "yes" "yes" "no"
"507" "yes" "no" "no"
"508" "yes" "no" "no"
"509" "yes" "yes" "yes"
"510" "no" "no" "yes"
"511" "yes" "yes" "no"
"512" "no" "yes" "yes"
"513" "yes" "no" "no"
"514" "yes" "yes" "no"
"515" "yes" "yes" "no"
"516" "no" "no" "yes"
"517" "no" "no" "yes"
"518" "no" "yes" "yes"
"519" "yes" "no" "no"
"520" "yes" "yes" "no"
"521" "yes" "yes" "no"
"522" "no" "no" "no"
"523" "yes" "yes" "yes"
"524" "yes" "no" "no"
"525" "no" "no" "yes"
"526" "no" "no" "no"
"527" "yes" "yes" "no"
"528" "yes" "yes" "yes"
"529" "yes" "yes" "yes"
"530" "yes" "no" "no"
"531" "no" "no" "yes"
"532" "yes" "yes" "no"
"533" "yes" "yes" "no"
"534" "no" "no" "yes"
"535" "yes" "yes" "yes"
"536" "yes" "no" "no"
"537" "no" "no" "no"
"538" "yes" "no" "no"
"539" "yes" "no" "no"
"540" "yes" "yes" "no"
"541" "no" "no" "yes"
"542" "yes" "no" "no"
"543" "yes" "no" "no"
"544" "yes" "yes" "no"
"545" "yes" "no" "no"
"546" "no" "no" "no"
"547" "yes" "yes" "no"
"548" "no" "no" "yes"
"549" "no" "no" "no"
"550" "no" "no" "no"
"551" "yes" "no" "no"
"552" "yes" "yes" "no"
"553" "no" "no" "yes"
"554" "no" "no" "no"
"555" "yes" "yes" "yes"
"556" "no" "no" "yes"
"557" "yes" "yes" "yes"
"558" "yes" "yes" "yes"
"559" "no" "no" "no"
"560" "yes" "yes" "no"
"561" "yes" "no" "no"
"562" "yes" "yes" "no"
"563" "no" "no" "yes"
"564" "yes" "yes" "no"
"565" "yes" "yes" "yes"
"566" "yes" "no" "no"
"567" "yes" "yes" "no"
"568" "yes" "no" "no"
"569" "no" "yes" "yes"
"570" "yes" "no" "no"
"571" "no" "yes" "yes"
"572" "no" "no" "no"
"573" "yes" "no" "yes"
"574" "no" "no" "no"
"575" "no" "no" "yes"
"576" "yes" "no" "no"
"577" "yes" "no" "yes"
"578" "no" "yes" "no"
"579" "no" "no" "no"
"580" "yes" "no" "no"
"581" "no" "no" "yes"
"582" "yes" "no" "no"
"583" "yes" "yes" "no"
"584" "no" "no" "no"
"585" "yes" "yes" "no"
"586" "no" "no" "yes"
"587" "yes" "yes" "no"
"588" "yes" "no" "yes"
"589" "no" "no" "no"
"590" "yes" "yes" "no"
"591" "yes" "no" "no"
"592" "yes" "yes" "no"
"593" "yes" "yes" "no"
"594" "yes" "yes" "yes"
"595" "yes" "yes" "no"
"596" "yes" "no" "no"
"597" "yes" "no" "yes"
"598" "no" "no" "yes"
"599" "yes" "yes" "no"
"600" "yes" "no" "no"
"601" "no" "no" "yes"
"602" "yes" "yes" "no"
"603" "yes" "yes" "no"
"604" "no" "no" "yes"
"605" "no" "no" "yes"
"606" "no" "yes" "yes"
"607" "no" "no" "yes"
"608" "yes" "yes" "no"
"609" "yes" "yes" "yes"
"610" "yes" "yes" "no"
"611" "no" "no" "no"
"612" "yes" "no" "no"
"613" "yes" "no" "yes"
"614" "yes" "no" "yes"
"615" "yes" "no" "no"
"616" "no" "no" "no"
"617" "no" "no" "yes"
"618" "yes" "no" "no"
"619" "yes" "no" "no"
"620" "yes" "no" "no"
"621" "no" "no" "yes"
"622" "no" "no" "yes"
"623" "yes" "yes" "no"
"624" "no" "no" "yes"
"625" "no" "no" "no"
"626" "no" "yes" "no"
"627" "yes" "no" "yes"
"628" "yes" "no" "no"
"629" "no" "no" "yes"
"630" "yes" "yes" "no"
"631" "yes" "no" "yes"
"632" "yes" "yes" "no"
"633" "yes" "yes" "no"
"634" "no" "yes" "yes"
"635" "no" "no" "no"
"636" "no" "no" "no"
"637" "yes" "yes" "no"
"638" "yes" "yes" "yes"
"639" "yes" "yes" "no"
"640" "yes" "yes" "yes"
"641" "yes" "yes" "no"
"642" "yes" "no" "no"
"643" "yes" "no" "no"
"644" "yes" "yes" "no"
"645" "yes" "yes" "yes"
"646" "yes" "no" "no"
"647" "no" "no" "yes"
"648" "no" "no" "yes"
"649" "no" "no" "no"
"650" "yes" "no" "no"
"651" "yes" "no" "no"
"652" "yes" "yes" "yes"
"653" "yes" "yes" "no"
"654" "yes" "no" "no"
"655" "no" "no" "no"
"656" "no" "yes" "yes"
"657" "yes" "yes" "yes"
"658" "no" "no" "no"
"659" "yes" "yes" "no"
"660" "no" "no" "no"
"661" "no" "no" "no"
"662" "yes" "no" "no"
"663" "no" "no" "no"
"664" "no" "no" "yes"
"665" "yes" "yes" "no"
"666" "no" "no" "yes"
"667" "yes" "yes" "no"
"668" "yes" "no" "yes"
"669" "no" "no" "yes"
"670" "yes" "no" "yes"
"671" "yes" "yes" "no"
"672" "yes" "yes" "no"
"673" "no" "no" "no"
"674" "yes" "yes" "no"
"675" "yes" "yes" "no"
"676" "no" "no" "yes"
"677" "yes" "no" "no"
"678" "yes" "yes" "no"
"679" "yes" "yes" "no"
"680" "yes" "yes" "yes"
"681" "no" "no" "yes"
"682" "no" "no" "no"
"683" "yes" "no" "yes"
"684" "no" "no" "yes"
"685" "yes" "no" "no"
"686" "yes" "no" "no"
"687" "yes" "yes" "yes"
"688" "yes" "yes" "no"
"689" "yes" "yes" "yes"
"690" "yes" "no" "no"
"691" "yes" "no" "no"
"692" "yes" "no" "no"
"693" "no" "no" "yes"
"694" "yes" "yes" "no"
"695" "no" "no" "yes"
"696" "no" "no" "yes"
"697" "no" "no" "no"
"698" "no" "yes" "yes"
"699" "yes" "no" "no"
"700" "no" "no" "yes"
"701" "no" "no" "yes"
"702" "yes" "yes" "no"
"703" "yes" "yes" "no"
"704" "yes" "yes" "yes"
"705" "no" "no" "yes"
"706" "yes" "no" "no"
"707" "yes" "yes" "no"
"708" "yes" "yes" "no"
"709" "no" "no" "no"
"710" "yes" "yes" "no"
"711" "no" "no" "yes"
"712" "yes" "yes" "yes"
"713" "yes" "yes" "no"
"714" "yes" "yes" "no"
"715" "no" "no" "yes"
"716" "no" "no" "yes"
"717" "no" "no" "yes"
"718" "no" "no" "yes"
"719" "no" "no" "yes"
"720" "yes" "yes" "yes"
"721" "no" "no" "yes"
"722" "yes" "no" "no"
"723" "yes" "yes" "no"
"724" "yes" "yes" "no"
"725" "yes" "yes" "no"
"726" "no" "yes" "yes"
"727" "no" "no" "yes"
"728" "yes" "yes" "no"
"729" "yes" "yes" "no"
"730" "yes" "yes" "no"
"731" "yes" "yes" "no"
"732" "yes" "yes" "no"
"733" "yes" "yes" "yes"
"734" "yes" "yes" "yes"
"735" "yes" "no" "no"
"736" "yes" "yes" "yes"
"737" "yes" "yes" "no"
"738" "yes" "no" "no"
"739" "yes" "no" "no"
"740" "no" "no" "yes"
"741" "yes" "no" "yes"
"742" "no" "yes" "yes"
"743" "no" "no" "no"
"744" "yes" "yes" "no"
"745" "yes" "yes" "no"
"746" "yes" "yes" "no"
"747" "yes" "no" "yes"
"748" "yes" "no" "no"
"749" "no" "no" "yes"
"750" "no" "no" "yes"
"751" "yes" "no" "no"
"752" "yes" "yes" "no"
"753" "yes" "yes" "no"
"754" "yes" "yes" "no"
"755" "yes" "yes" "no"
"756" "yes" "no" "no"
"757" "no" "no" "yes"
"758" "yes" "no" "no"
"759" "no" "no" "no"
"760" "no" "yes" "no"
"761" "no" "no" "yes"
"762" "no" "no" "yes"
"763" "no" "no" "yes"
"764" "yes" "no" "no"
"765" "yes" "yes" "no"
"766" "yes" "no" "yes"
"767" "yes" "no" "no"
"768" "yes" "no" "no"
"769" "yes" "no" "yes"
"770" "yes" "yes" "no"
"771" "yes" "no" "no"
"772" "yes" "yes" "no"
"773" "yes" "no" "no"
"774" "yes" "yes" "no"
"775" "yes" "yes" "no"
"776" "yes" "yes" "no"
"777" "yes" "yes" "no"
"778" "yes" "yes" "yes"
"779" "no" "yes" "no"
"780" "yes" "yes" "no"
"781" "no" "no" "yes"
"782" "no" "no" "no"
"783" "yes" "yes" "yes"
"784" "no" "no" "yes"
"785" "yes" "yes" "yes"
"786" "no" "no" "yes"
"787" "no" "no" "no"
"788" "no" "no" "no"
"789" "yes" "no" "no"
"790" "no" "yes" "yes"
"791" "yes" "yes" "no"
"792" "yes" "yes" "no"
"793" "yes" "yes" "no"
"794" "no" "no" "yes"
"795" "no" "no" "yes"
"796" "no" "yes" "yes"
"797" "yes" "no" "no"
"798" "yes" "no" "yes"
"799" "yes" "yes" "no"
"800" "yes" "yes" "no"
"801" "yes" "no" "no"
"802" "yes" "no" "yes"
"803" "yes" "yes" "no"
"804" "yes" "yes" "no"
"805" "no" "no" "yes"
"806" "no" "no" "yes"
"807" "yes" "yes" "no"
"808" "yes" "yes" "no"
"809" "no" "no" "yes"
"810" "yes" "yes" "no"
"811" "yes" "yes" "yes"
"812" "yes" "no" "no"
"813" "no" "no" "no"
"814" "no" "no" "yes"
"815" "no" "no" "yes"
"816" "yes" "no" "no"
"817" "no" "no" "yes"
"818" "yes" "yes" "yes"
"819" "no" "no" "no"
"820" "yes" "yes" "yes"
"821" "no" "no" "no"
"822" "yes" "no" "no"
"823" "yes" "no" "yes"
"824" "yes" "yes" "no"
"825" "yes" "yes" "no"
"826" "yes" "yes" "no"
"827" "yes" "no" "no"
"828" "yes" "no" "yes"
"829" "no" "no" "yes"
"830" "yes" "yes" "yes"
"831" "yes" "no" "yes"
"832" "yes" "yes" "no"
"833" "yes" "yes" "yes"
"834" "no" "no" "no"
"835" "yes" "yes" "yes"
"836" "yes" "yes" "no"
"837" "no" "no" "yes"
"838" "yes" "yes" "no"
"839" "no" "no" "no"
"840" "yes" "yes" "no"
"841" "yes" "no" "no"
"842" "yes" "yes" "no"
"843" "no" "yes" "yes"
"844" "yes" "yes" "no"
"845" "yes" "yes" "no"
"846" "yes" "no" "no"
"847" "no" "no" "yes"
"848" "yes" "yes" "yes"
"849" "no" "yes" "yes"
"850" "no" "no" "no"
"851" "yes" "no" "no"
"852" "yes" "no" "no"
"853" "yes" "no" "no"
"854" "no" "no" "yes"
"855" "no" "no" "yes"
"856" "yes" "yes" "yes"
"857" "no" "no" "yes"
"858" "yes" "yes" "no"
"859" "yes" "yes" "no"
"860" "yes" "yes" "no"
"861" "yes" "yes" "no"
"862" "yes" "yes" "no"
"863" "no" "yes" "yes"
"864" "no" "no" "no"
"865" "no" "no" "yes"
"866" "no" "no" "yes"
"867" "yes" "yes" "no"
"868" "no" "no" "no"
"869" "yes" "no" "yes"
"870" "yes" "no" "no"
"871" "yes" "yes" "no"
"872" "yes" "yes" "yes"
"873" "yes" "no" "yes"
"874" "no" "no" "no"
"875" "yes" "yes" "no"
"876" "no" "no" "yes"
"877" "no" "no" "yes"
"878" "yes" "yes" "no"
"879" "no" "no" "no"
"880" "no" "no" "yes"
"881" "yes" "yes" "no"
"882" "yes" "yes" "no"
"883" "yes" "yes" "no"
"884" "no" "no" "yes"
"885" "yes" "no" "no"
"886" "yes" "no" "no"
"887" "no" "no" "yes"
"888" "yes" "no" "no"
"889" "yes" "no" "no"
"890" "yes" "yes" "no"
"891" "yes" "no" "no"
"892" "yes" "no" "no"
"893" "yes" "yes" "yes"
"894" "no" "no" "yes"
"895" "yes" "no" "no"
"896" "yes" "no" "no"
"897" "yes" "no" "no"
"898" "yes" "no" "no"
"899" "yes" "no" "no"
"900" "yes" "yes" "no"
"901" "no" "no" "yes"
"902" "yes" "yes" "no"
"903" "no" "no" "no"
"904" "yes" "no" "no"
"905" "yes" "no" "no"
"906" "no" "no" "yes"
"907" "yes" "no" "no"
"908" "yes" "yes" "no"
"909" "yes" "yes" "no"
"910" "no" "no" "yes"
"911" "yes" "yes" "no"
"912" "yes" "no" "yes"
"913" "yes" "no" "yes"
"914" "yes" "no" "no"
"915" "yes" "yes" "no"
"916" "no" "no" "yes"
"917" "yes" "no" "no"
"918" "no" "yes" "yes"
"919" "yes" "yes" "no"
"920" "yes" "yes" "no"
"921" "yes" "yes" "no"
"922" "no" "no" "yes"
"923" "yes" "yes" "no"
"924" "yes" "yes" "no"
"925" "no" "no" "yes"
"926" "yes" "no" "no"
"927" "yes" "yes" "no"
"928" "yes" "no" "yes"
"929" "no" "no" "yes"
"930" "no" "no" "yes"
"931" "no" "no" "yes"
"932" "no" "no" "yes"
"933" "no" "no" "yes"
"934" "yes" "no" "no"
"935" "no" "no" "yes"
"936" "yes" "yes" "no"
"937" "yes" "no" "no"
"938" "yes" "no" "no"
"939" "no" "no" "yes"
"940" "no" "no" "yes"
"941" "yes" "yes" "no"
"942" "yes" "no" "no"
"943" "yes" "no" "no"
"944" "yes" "no" "no"
"945" "yes" "yes" "no"
"946" "yes" "yes" "no"
"947" "yes" "yes" "yes"
"948" "yes" "yes" "yes"
"949" "yes" "yes" "no"
"950" "no" "no" "yes"
"951" "yes" "yes" "no"
"952" "yes" "no" "yes"
"953" "yes" "no" "no"
"954" "yes" "yes" "no"
"955" "yes" "yes" "no"
"956" "yes" "no" "no"
"957" "yes" "yes" "no"
"958" "yes" "no" "no"
"959" "yes" "yes" "no"
"960" "yes" "yes" "no"
"961" "no" "yes" "yes"
"962" "no" "no" "yes"
"963" "no" "no" "no"
"964" "yes" "no" "no"
"965" "yes" "no" "no"
"966" "yes" "no" "no"
"967" "yes" "yes" "yes"
"968" "yes" "yes" "no"
"969" "no" "no" "yes"
"970" "yes" "yes" "no"
"971" "no" "yes" "yes"
